signal_type,mass_GeV,stage,raw_events,sum_weights,sum_weights_squared,effective_events,weighted_cross_section_pb,cumulative_efficiency,incremental_efficiency,sigma_total_error_pb
scalar,6.31,Qe2+pt+eta,1576,285.163271521,106.643307741,762.524092202,0.00160400084251,0.0461409711126,1,0.000184665382789
scalar,6.31,all_Table_I_cuts,1485,284.153028389,106.563606633,757.697173487,0.00159831837567,0.0459775082693,0.996457316799,0.000184665382789
vector,0.01,inclusive,18885,4987.7757827,2156.83505466,11534.4505388,179076.826434,1,1,1084.80957964
vector,0.01,Qe2,633,3.18306494651,0.129840358901,78.0335370251,114.282035478,0.000638173222932,0.000638173222932,1084.80957964
vector,0.01,Qe2+pt,245,0.0131216562913,3.60596804105e-05,4.77480282319,0.471108700267,2.63076306213e-06,0.00412233382348,1084.80957964
vector,0.01,Qe2+pt+eta,26,0.00941164670162,3.40358029095e-05,2.60252692941,0.337907695991,1.88694261965e-06,0.717260572345,1084.80957964
vector,0.01,all_Table_I_cuts,11,0.00170654381792,9.2811108165e-07,3.13786987362,0.0612702864761,3.42145255174e-07,0.181322554068,1084.80957964
vector,0.032,inclusive,19892,4764.50429454,2178.34998168,10420.9614449,20720.5637968,1,1,140.473251948
vector,0.032,Qe2,1020,34.949620765,42.8174478381,28.5275291568,151.993954034,0.0073354159435,0.0073354159435,140.473251948
vector,0.032,Qe2+pt,173,0.0707646015924,0.00106542440371,4.70012590392,0.307751310778,1.48524583499e-05,0.00202476021323,140.473251948
vector,0.032,Qe2+pt+eta,14,0.0564061280898,0.00102973971265,3.08976263323,0.245307109274,1.18388240629e-05,0.797095254131,140.473251948
vector,0.032,all_Table_I_cuts,4,0.0120283360733,4.82088550818e-05,3.0011264206,0.0523105636115,2.52457240664e-06,0.213245200134,140.473251948
vector,0.1,inclusive,19999,4429.03091824,1828.60096573,10727.4989144,2138.92987665,1,1,14.0614710066
vector,0.1,Qe2,3257,268.583780686,84.0229388431,858.54230096,129.708255259,0.0606416585579,0.0606416585579,14.0614710066
