class,mass_GeV,pt_low_GeV,pt_high_GeV,log10_t_low,log10_t_high,weighted_probability_percent
Photon proxy,1,1.98888888889,2.16666666667,-1.625,-1.5,0
Photon proxy,1,2.16666666667,2.34444444444,-6,-5.875,0
Photon proxy,1,2.16666666667,2.34444444444,-5.875,-5.75,0
Photon proxy,1,2.16666666667,2.34444444444,-5.75,-5.625,0
Photon proxy,1,2.16666666667,2.34444444444,-5.625,-5.5,0
Photon proxy,1,2.16666666667,2.34444444444,-5.5,-5.375,0
Photon proxy,1,2.16666666667,2.34444444444,-5.375,-5.25,0
Photon proxy,1,2.16666666667,2.34444444444,-5.25,-5.125,0.00268872717835
Photon proxy,1,2.16666666667,2.34444444444,-5.125,-5,0.0164292758174
Photon proxy,1,2.16666666667,2.34444444444,-5,-4.875,0.0439220481391
Photon proxy,1,2.16666666667,2.34444444444,-4.875,-4.75,0.111250805796
Photon proxy,1,2.16666666667,2.34444444444,-4.75,-4.625,0.10996620821
Photon proxy,1,2.16666666667,2.34444444444,-4.625,-4.5,0.162787977634
Photon proxy,1,2.16666666667,2.34444444444,-4.5,-4.375,0.174399795009
Photon proxy,1,2.16666666667,2.34444444444,-4.375,-4.25,0.209937638299
Photon proxy,1,2.16666666667,2.34444444444,-4.25,-4.125,0.247072610262
Photon proxy,1,2.16666666667,2.34444444444,-4.125,-4,0.245705649206
Photon proxy,1,2.16666666667,2.34444444444,-4,-3.875,0.227347216909
Photon proxy,1,2.16666666667,2.34444444444,-3.875,-3.75,0.247361285143
Photon proxy,1,2.16666666667,2.34444444444,-3.75,-3.625,0.267667563371
Photon proxy,1,2.16666666667,2.34444444444,-3.625,-3.5,0.283507854938
Photon proxy,1,2.16666666667,2.34444444444,-3.5,-3.375,0.297980102695
Photon proxy,1,2.16666666667,2.34444444444,-3.375,-3.25,0.330906431245
Photon proxy,1,2.16666666667,2.34444444444,-3.25,-3.125,0.262678403986
Photon proxy,1,2.16666666667,2.34444444444,-3.125,-3,0.293264952767
Photon proxy,1,2.16666666667,2.34444444444,-3,-2.875,0.268198450333
Photon proxy,1,2.16666666667,2.34444444444,-2.875,-2.75,0.229022215395
Photon proxy,1,2.16666666667,2.34444444444,-2.75,-2.625,0.200682238926
Photon proxy,1,2.16666666667,2.34444444444,-2.625,-2.5,0.172660468849
Photon proxy,1,2.16666666667,2.34444444444,-2.5,-2.375,0.119485370733
Photon proxy,1,2.16666666667,2.34444444444,-2.375,-2.25,0.0948649989417
Photon proxy,1,2.16666666667,2.34444444444,-2.25,-2.125,0.0654151369713
Photon proxy,1,2.16666666667,2.34444444444,-2.125,-2,0.0339380897329
Photon proxy,1,2.16666666667,2.34444444444,-2,-1.875,0.0187135883085
Photon proxy,1,2.16666666667,2.34444444444,-1.875,-1.75,0.00202405285421
Photon proxy,1,2.16666666667,2.34444444444,-1.75,-1.625,3.4359724046e-05
Photon proxy,1,2.16666666667,2.34444444444,-1.625,-1.5,0.00188565022044
Photon proxy,1,2.34444444444,2.52222222222,-6,-5.875,0
Photon proxy,1,2.34444444444,2.52222222222,-5.875,-5.75,0
Photon proxy,1,2.34444444444,2.52222222222,-5.75,-5.625,0
Photon proxy,1,2.34444444444,2.52222222222,-5.625,-5.5,0
Photon proxy,1,2.34444444444,2.52222222222,-5.5,-5.375,0
Photon proxy,1,2.34444444444,2.52222222222,-5.375,-5.25,0
Photon proxy,1,2.34444444444,2.52222222222,-5.25,-5.125,0
Photon proxy,1,2.34444444444,2.52222222222,-5.125,-5,0.00143131141791
Photon proxy,1,2.34444444444,2.52222222222,-5,-4.875,0.0200954911418
Photon proxy,1,2.34444444444,2.52222222222,-4.875,-4.75,0.0352299719214
Photon proxy,1,2.34444444444,2.52222222222,-4.75,-4.625,0.0555147282286
Photon proxy,1,2.34444444444,2.52222222222,-4.625,-4.5,0.0949681917219
Photon proxy,1,2.34444444444,2.52222222222,-4.5,-4.375,0.124640498815
Photon proxy,1,2.34444444444,2.52222222222,-4.375,-4.25,0.168762104893
Photon proxy,1,2.34444444444,2.52222222222,-4.25,-4.125,0.130778266348
Photon proxy,1,2.34444444444,2.52222222222,-4.125,-4,0.16438492089
Photon proxy,1,2.34444444444,2.52222222222,-4,-3.875,0.190450449711
Photon proxy,1,2.34444444444,2.52222222222,-3.875,-3.75,0.194417875121
Photon proxy,1,2.34444444444,2.52222222222,-3.75,-3.625,0.198355682931
Photon proxy,1,2.34444444444,2.52222222222,-3.625,-3.5,0.237109020402
Photon proxy,1,2.34444444444,2.52222222222,-3.5,-3.375,0.194971541481
Photon proxy,1,2.34444444444,2.52222222222,-3.375,-3.25,0.197356064539
Photon proxy,1,2.34444444444,2.52222222222,-3.25,-3.125,0.199245828345
Photon proxy,1,2.34444444444,2.52222222222,-3.125,-3,0.187434861825
Photon proxy,1,2.34444444444,2.52222222222,-3,-2.875,0.206415724266
Photon proxy,1,2.34444444444,2.52222222222,-2.875,-2.75,0.162305592324
Photon proxy,1,2.34444444444,2.52222222222,-2.75,-2.625,0.167080195718
Photon proxy,1,2.34444444444,2.52222222222,-2.625,-2.5,0.14491388897
Photon proxy,1,2.34444444444,2.52222222222,-2.5,-2.375,0.128484970981
Photon proxy,1,2.34444444444,2.52222222222,-2.375,-2.25,0.0747032451078
Photon proxy,1,2.34444444444,2.52222222222,-2.25,-2.125,0.0513696436377
Photon proxy,1,2.34444444444,2.52222222222,-2.125,-2,0.0312002369365
Photon proxy,1,2.34444444444,2.52222222222,-2,-1.875,0.00985399423805
Photon proxy,1,2.34444444444,2.52222222222,-1.875,-1.75,0.00193249735559
Photon proxy,1,2.34444444444,2.52222222222,-1.75,-1.625,0
Photon proxy,1,2.34444444444,2.52222222222,-1.625,-1.5,0.000950298801559
Photon proxy,1,2.52222222222,2.7,-6,-5.875,0
Photon proxy,1,2.52222222222,2.7,-5.875,-5.75,0
Photon proxy,1,2.52222222222,2.7,-5.75,-5.625,0
Photon proxy,1,2.52222222222,2.7,-5.625,-5.5,0
Photon proxy,1,2.52222222222,2.7,-5.5,-5.375,0
Photon proxy,1,2.52222222222,2.7,-5.375,-5.25,0
Photon proxy,1,2.52222222222,2.7,-5.25,-5.125,0
Photon proxy,1,2.52222222222,2.7,-5.125,-5,0
Photon proxy,1,2.52222222222,2.7,-5,-4.875,0.000840886144968
Photon proxy,1,2.52222222222,2.7,-4.875,-4.75,0.0221602725124
Photon proxy,1,2.52222222222,2.7,-4.75,-4.625,0.0263762427841
Photon proxy,1,2.52222222222,2.7,-4.625,-4.5,0.0465962959356
